title,url,authors,doi,journal,search_term,dataset_id
Annual sea level changes on the North American northeast coast: Influence of local winds and barotropic motions,http://hdl.handle.net/10261/151709,"Piecuch, C. G., Dangendorf, Sönke, Ponte, R. M., Marcos, Marta",10.1175/JCLI-D-16-0048.1,Journal of Climate 29: 4801-4816 (2016),North American Regional Reanalysis,dataset-664
Regionally coupled atmosphere-ocean-sea ice-marine biogeochemistry model ROM: 1. Description and validation,http://centaur.reading.ac.uk/46853/1/Sein_et_al-2015-Journal_of_Advances_in_Modeling_Earth_Systems.pdf,"Sein, D., Mikolajewicz, U., Groeger, M., Fast, I., Cabos , W., Pinto, J., Hagemann, S., Semmler, T., Izquierdo, A., Jacob, D.",10.1002/2014MS000357/,,North American Regional Reanalysis,dataset-664
Assessing Mountains as Natural Reservoirs With a Multimetric Framework,http://www.escholarship.org/uc/item/5sm2m13p,"Rhoades, AM, Jones, AD, Ullrich, PA",,,North American Regional Reanalysis,dataset-664
Characterizing Sierra Nevada Snowpack Using Variable-Resolution CESM,https://escholarship.org/uc/item/0cz82359,"Rhoades, Alan M, Huang, Xingying, Ullrich, Paul A, Zarzycki, Colin M",,,North American Regional Reanalysis,dataset-664
A Sensitivity Analysis of the Wind Forcing Effect on the Accuracy of Large-Wave Hindcasting,https://www.mdpi.com/2077-1312/6/4/139,"Wang, Taiping, Yang, Zhaoqing, Wu, Wei-Cheng, Grear, Molly",10.3390/jmse6040139,Journal of Marine Science and Engineering,North American Regional Reanalysis,dataset-664
Effect of ENSO phase on large-scale snow water equivalent distribution in a GCM,http://centaur.reading.ac.uk/1749/1/Clifford_2009jcli2993.1%5B1%5D.pdf,"Clifford, Debbie, Gurney, Robert J, Haines, Keith",10.1175/2009JCLI2993.1,,North American Regional Reanalysis,dataset-664
Feasibility of Small Wind Turbines in Ontario: Integrating Power Curves with Wind Trends,http://dx.doi.org/10.17863/cam.8041,"Ashtine, Masao, Bello, R, Higuchi, K",10.17863/cam.8041,,North American Regional Reanalysis,dataset-664
Synoptic-scale controls on the δ18O in precipitation across Beringia,http://dx.doi.org/10.1002/2015GL063983,"Bailey, Hannah L., Kaufman, Darrell S., Henderson, Andrew C.G., Leng, Melanie J.",10.1002/2015GL063983,,North American Regional Reanalysis,dataset-664
Developing A Regional Land Use Drought Index In Florida,http://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=1022&amp;context=ddad2011,"Cheng, Chi-Han, Nnadi, Fidelia",,,North American Regional Reanalysis,dataset-664
THE IMPACT OF UPPER TROPOSPHERIC DYNAMICS ON SURFACE AIR QUALITY OVER THE UNITED STATES,http://dx.doi.org/10.13016/m2qx1v,"Kollonige, Debra Elizabeth",10.13016/m2qx1v,,North American Regional Reanalysis,dataset-664
Characterizing Sierra Nevada Snowpack Using Variable-Resolution CESM,http://www.escholarship.org/uc/item/0cz82359,"Rhoades, Alan M, Huang, Xingying, Ullrich, Paul A, Zarzycki, Colin M",10.5194/tc-13-1547-2019,,North American Regional Reanalysis,dataset-664
AOD distributions and trends of major aerosol species over a selection of the world’s most populated cities based on the 1st Version of NASA’s MERRA Aerosol Reanalysis,https://europepmc.org/articles/PMC5904854/,"Provençal, Simon, Kishcha, Pavel, da Silva, Arlindo M., Elhacham, Emily, Alpert, Pinhas",10.1016/j.uclim.2017.04.001,,North American Regional Reanalysis,dataset-664
Mountain Torques and Northern Hemisphere Low-Frequency Variability. Part II: Hemispheric Aspects,http://dx.doi.org/10.7916/d8z60zr7,"Lott, François, Robertson, Andrew W., Ghil, Michael",10.7916/d8z60zr7,,North American Regional Reanalysis,dataset-664
A Regional Land Use Drought Index for Florida,http://dx.doi.org/10.3390/rs71215879,"Chi-Han Cheng, Fidelia Nnadi, Yuei-An Liou",10.3390/rs71215879,Remote Sensing,North American Regional Reanalysis,dataset-664
Neural Network–Based Sensitivity Analysis of Summertime Convection over the Continental United States,http://dx.doi.org/10.7916/d8zw1jjv,"Aires, Filipe, Gentine, Pierre, Findell, Kirsten L., Lintner, Benjamin R., Kerr, Christopher",10.7916/d8zw1jjv,,North American Regional Reanalysis,dataset-664
A Global Intercomparison of Modeled and Observed Land–Atmosphere Coupling,http://dx.doi.org/10.1175/jhm-d-11-0119.1,"Ferguson, Craig R., Wood, Eric F., Vinukollu, Raghuveer K.",10.1175/jhm-d-11-0119.1,,North American Regional Reanalysis,dataset-664
"Greenland Ice Sheet surface mass balance 1870 to 2010 based on Twentieth Century Reanalysis, and links with global climate forcing",http://www.escholarship.org/uc/item/4v60n9rw,"Hanna, E., Huybrechts, P., Cappelen, J., Steffen, K., Bales, R. C., Burgess, E., McConnell, J. R., Steffensen, J. P., Van Den Broeke, M., Wake, L., Bigg, G., Griffiths, M., Savas, D.",10.1029/2011JD016387,,North American Regional Reanalysis,dataset-664
Cloud fraction at the ARM SGP site: reducing uncertainty with self-organizing maps,http://europepmc.org/articles/PMC4924627,"Kennedy, Aaron D., Dong, Xiquan, Xi, Baike",10.1007/s00704-015-1384-3,Theoretical and Applied Climatology,North American Regional Reanalysis,dataset-664
Effects of lightning and other meteorological factors on fire activity in the North American boreal forest: implications for fire weather forecasting,http://www.atmos-chem-phys.net/10/6873/2010/acp-10-6873-2010.pdf,"D. Peterson, J. Wang, C. Ichoku, L. A. Remer",10.5194/acp-10-6873-2010,Atmospheric Chemistry and Physics,North American Regional Reanalysis,dataset-664
