title,journal,url,authors,open,search_term,dataset_id
Image-Based Concrete Crack Detection Using Convolutional Neural Network and Exhaustive Search Technique,Advances in Civil Engineering,http://dx.doi.org/10.1155/2019/6520620,"Li, Shengyuan, Zhao, Xuefeng",True,Integrated Surface Database,dataset-621
Precise photorealistic visualization for restoration of historic buildings based on tacheometry data,,http://purl.tuc.gr/dl/dias/37411AD9-126B-4FD7-8CC6-694128220BE9,"Ραγια Λεμονια(http://users.isc.tuc.gr/~lragia), Ragia Lemonia(http://users.isc.tuc.gr/~lragia), Σαρρη Ευφροσυνη(http://users.isc.tuc.gr/~esarri), Sarri Effrosyni(http://users.isc.tuc.gr/~esarri), Μανια Αικατερινη(http://users.isc.tuc.gr/~amania), Mania Aikaterini(http://users.isc.tuc.gr/~amania)",True,Integrated Surface Database,dataset-621
Identification of differential protein‐coding gene expressions in early phase lung adenocarcinoma,Thoracic Cancer,http://dx.doi.org/10.1371/journal.pone.0082241,"Zhou, Li‐Na, Li, Shi‐Cheng, Li, Xue‐Ying, Ge, Hong, Li, Hong‐Mei",True,Integrated Surface Database,dataset-621
Особливості створення розрахункового модуля по оцінці стійкості зсувних схилів для MapInfo,Eastern-European Journal of Enterprise Technologies,http://journals.uran.ua/eejet/article/view/21054,"Крив’юк, Ігор Васильович",True,Integrated Surface Database,dataset-621
Performance analysis of photovoltaic plants installed in dairy cattle farms,Journal of Agricultural Engineering,http://hdl.handle.net/11585/513377,Remo Alessio Malagnino,True,Integrated Surface Database,dataset-621
A global database of water vapor isotopes measured with high temporal resolution infrared laser spectroscopy,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060227466&doi=10.1038%2fsdata.2018.302&partnerID=40&md5=5b264ca04e73d1640ca65a6db0cab930,"Wei, Z., Lee, X., Aemisegger, F., Benetti, M., Berkelhammer, M., Casado, M., Caylor, K., Christner, E., Dyroff, C., García, O., González, Y., Griffis, T., Kurita, N., Liang, J., Liang, M. -C., Lin, G., Noone, D., Gribanov, K., Munksgaard, N. C., Schneider, M., Ritter, F., Steen-Larsen, H. C., Vallet-Coulomb, C., Wen, X., Wright, J. S., Xiao, W., Yoshimura, K.",True,Integrated Surface Database,dataset-621
Microarray analysis of genes associated with cell surface NIS protein levels in breast cancer,BMC Research Notes,http://europepmc.org/articles/PMC3205061,"Beyer, Sasha J, Zhang, Xiaoli, Jimenez, Rafael E, Lee, Mei-Ling T, Richardson, Andrea L, Huang, Kun, Jhiang, Sissy M",True,Integrated Surface Database,dataset-621
Monitoring some environmental impacts of oil industry on coastal zone using different remotely sensed data,Egyptian Journal of Remote Sensing and Space Sciences,https://doaj.org/toc/1110-9823,"Hegazy, M.N., Effat, H.A.",True,Integrated Surface Database,dataset-621
"Influence of Holocene stratigraphic architecture on ground surface settlements: A case study from the City of Pisa (Tuscany, Italy)",,http://hdl.handle.net/11585/131785,"G. Sarti, V. Rossi, A. Amorosi",False,Integrated Surface Database,dataset-621
Predictors of Individual Response to Placebo or Tadalafil 5mg among Men with Lower Urinary Tract Symptoms Secondary to Benign Prostatic Hyperplasia: An Integrated Clinical Data Mining Analysis,PLoS ONE,http://dx.doi.org/10.1371/journal.pone.0135484.t004,"Ferdinando Fusco, Gianluca D'Anzeo, Carsten Henneges, Andrea Rossi, Hartwig Büttner, J Curtis Nickel",True,Integrated Surface Database,dataset-621
Toward an integrated assessment of the ecological and chemical status of European river basins,,https://hdl.handle.net/10067/731480151162165141,"von der Ohe, Peter C., de Deckere, Eric, Prüß, Andrea, Muñoz, Isabel, Wolfram, Georg, Villagrasa, Marta, Ginebreda, Antonio, Hein, Michaela, Brack, Werner",False,Integrated Surface Database,dataset-621
Integrating weather and geotechnical monitoring data for assessing the stability of large scale surface mining operations,Open Geosciences,https://doaj.org/toc/2391-5447,"Steiakakis Chrysanthos(), Αγιουταντης Ζαχαριας(http://users.isc.tuc.gr/~zagioutantis), Agioutantis Zacharias(http://users.isc.tuc.gr/~zagioutantis), Apostolou, Evangelia, 1964-(http://viaf.org/viaf/204749420), Papavgeri Georgia(), Τριπολιτσιωτης Αχιλλεας(http://users.isc.tuc.gr/~atripolitsiotis), Tripolitsiotis Achilleas(http://users.isc.tuc.gr/~atripolitsiotis)",True,Integrated Surface Database,dataset-621
Chlorophyll-α in Antarctic landfast sea ice: A first synthesis of historical ice core data,,https://www.rug.nl/research/portal/en/publications/chlorophyll-in-antarctic-landfast-sea-ice(0c2fe631-8033-4653-a724-ad2ebc358cbf).html,"Meiners, K. M., Vancoppenolle, M., Carnat, G., Castellani, G., Delille, B., Delille, D., Dieckmann, G. S., Flores, H., Fripiat, F., Grotti, M., Lange, B. A., Lannuzel, D., Martin, A., McMinn, A., Nomura, D., Peeken, I., Rivaro, P., Ryan, K. G., Stefels, J., Swadling, K. M., Thomas, D. N., Tison, J. -L., van der Merwe, P., van Leeuwe, M. A., Weldrick, C., Yang, E. J.",False,Integrated Surface Database,dataset-621
Strike-slip tectonics and Quaternary basin formation along the Vienna Basin fault system inferred from Bouguer gravity derivatives,,http://dspace.library.uu.nl/handle/1874/314316,"Salcher, B. C., Meurers, B., Smit, J., Decker, K., HöLzel, M., Wagreich, M.",True,Integrated Surface Database,dataset-621
Reactive transport in surface sediments: 1. Model complexity and software quality,,http://www.vliz.be/nl/open-marien-archief?module=ref&refid=34905,"Meysman, F.J.R., Middelburg, J.J., Herman, P.M.J., Heip, C.H.R.",False,Integrated Surface Database,dataset-621
A mass spectrometric-derived cell surface protein atlas.,PLoS ONE,http://dx.doi.org/10.1021/pr800056j.s012,"Härtlová, A, Bausch-Fluck, D, Hofmann, A, Bock, T, Frei, AP, Cerciello, F, Jacobs, A, Moest, H, Omasits, U, Gundry, RL, Yoon, C, Schiess, R, Schmidt, A, Mirkowska, P, Van Eyk, JE, Bourquin, JP, Aebersold, R, Boheler, KR, Zandstra, P, Wollscheid, B",True,Integrated Surface Database,dataset-621
